company,website,first_name,role,industry,employee_count,location,trigger,linkedin_url,website_quality,linkedin_quality,fit_score,message_version,service_angle,status,notes
mlop,https://mlop.ai,Stephen,Founder,B2B ML developer tools SaaS,2,"London, United Kingdom",recently_launched,https://www.linkedin.com/company/mlop,strong,unknown,6,credibility_v1,credibility_gap,LEARNING,"linkedin_status=unknown; YC Spring 2025; founder Stephen Sun; active startup with clear offer. Company LinkedIn listed but direct quality not checked."
SAMMY Labs,https://www.sammylabs.com,Joe,Founder / CEO,B2B computational law / knowledge automation,10,"London, United Kingdom",recently_launched,https://www.linkedin.com/company/sammylabs/,strong,unknown,6,credibility_v1,linkedin_rebuild,LEARNING,"linkedin_status=unknown; YC Winter 2025; founders Joe Savidge and Shav Vimalendiran; hiring founding engineer. LinkedIn company page found via search; direct activity/quality check still required."
TamLabs,https://tamlabs.ai,Joshua,CEO & Founder,B2B AI for professional services,2,"San Francisco, CA",recently_launched,https://www.linkedin.com/company/tamlabs,strong,unknown,6,credibility_v1,credibility_gap,LEARNING,"linkedin_status=unknown; YC Winter 2025; founder Joshua Doolan. Company LinkedIn listed but direct quality not checked."
Mercura,https://www.mercura.ai,Lukas,Founder / CEO,B2B sales automation for distributors and manufacturers,3,Munich,hiring,https://www.linkedin.com/company/mercura-ai,strong,unknown,6,credibility_v1,linkedin_rebuild,LEARNING,"linkedin_status=unknown; YC Winter 2025; founder Lukas Bock; jobs listed. LinkedIn company page found via search; direct activity/quality check still required."
Spott,https://spott.io,Lander,Co-Founder & CEO,B2B recruiting CRM / ATS SaaS,3,"New York / Remote",hiring,https://www.linkedin.com/company/spottai,strong,unknown,6,credibility_v1,linkedin_rebuild,LEARNING,"linkedin_status=unknown; YC Winter 2025; senior account executive and engineering jobs listed; founders listed. LinkedIn company page found via search; direct activity/quality check still required."
Ergo,https://joinergo.com,Yash,Founder & CEO,B2B revenue infrastructure SaaS,2,"San Francisco, CA",hiring,https://www.linkedin.com/company/ergoai,strong,unknown,6,credibility_v1,linkedin_rebuild,LEARNING,"linkedin_status=unknown; YC Winter 2025; growth and operations roles listed; founders Yash Dulla and Ishan Sheth. LinkedIn company page found via search; direct activity/quality check still required."
Rebolt,https://rebolt.ai,Celia,Founder,B2B AI company OS / enterprise software,3,"San Francisco / Remote",hiring,https://www.linkedin.com/company/reboltai/,strong,unknown,6,credibility_v1,credibility_gap,LEARNING,"linkedin_status=unknown; YC Winter 2025; multiple founding roles listed. Company LinkedIn listed but direct quality not checked."
Bluebook,https://getbluebook.com,Philip,Co-Founder & CEO,B2B AI for accounting firms,4,"San Francisco, CA",recent_growth,https://www.linkedin.com/company/bluebook-accounting,strong,unknown,6,credibility_v1,credibility_gap,LEARNING,"linkedin_status=unknown; YC Winter 2025; pre-seed/funding news in Feb 2025. Company LinkedIn listed but direct quality not checked."
Nimbic AI,https://nimbic-ai.com,Ishan,Founder,B2B AI documentation SaaS,3,"San Francisco, CA",recently_launched,https://www.linkedin.com/company/nimbic-ai/,average,unknown,5,credibility_v1,credibility_gap,LEARNING,"linkedin_status=unknown; YC Spring 2025; very early company; sparse YC description. Company LinkedIn listed but direct quality not checked."
Browser Use,https://browser-use.com,Magnus,Founder / CEO,B2B open-source automation / API,2,"San Francisco, CA",recent_growth,,strong,unknown,6,credibility_v1,linkedin_rebuild,LEARNING,"linkedin_status=unknown; YC Winter 2025; strong growth signal with open-source traction and jobs listed. Direct LinkedIn review required; may be too strong/technical for offer."
